"Email Address","Adres email"
"Card title 6 or more characters","XXX"
"Show separately in a shop channel","Pokaż osobno w sklepie kanał"
"Enabled","Włącz"
"Disabled","Wyłącz"
"Yes","Tak"
"No","Nie"
"Enable/Disable","Włącz/Wyłącz"
"Enable Dotpay Payment","Włącz Płatności Dotpay"
"Dotpay customer ID","ID klienta Dotpay"
"Dotpay customer PIN","PIN klienta Dotpay"
"One-Click","One-Click"
"One-Click card manage", "Zarządzaj kartami One-click"
"MasterPass","MasterPass"
"BLIK","BLIK"
"Widget","Widżet"
"Display payment channels in a shop","Pokaż kanały płatności w sklepie"
"Testing environment","Środowisko testowe"
"Only payment simulation. Forced PLN.","Symulacja płatności z walutą PLN."
"Title","Tytuł"
"This controls the title which user sees during checkout.","Tytuł, który widzi użytkownik podczas składania zamówienia."
"Customer Message","Wiadomość dla Klienta"
"Card register","Rejestracja karty"
"Card select","Wybór zarejestrowanej karty"
"Dotpay One-Click card manage","Zarządzaj swoimi kartami Dotpay One-Click"
"Remove card","Usuń kartę"
"Card remove confirm","Potwierdzenie usunięcia karty",
"Card number","Numer karty"
"Card brand name","Wystawca"
"Remove","Usuń"
"Error","Błąd"
"Cancel","Anuluj"
"Confirm","Potwierdź"
"Do you want to remove the card","Czy chcesz usunąć kartę"
"Unable to remove the card.","Nie udało się usunąć karty."
"You chose payment by Dotpay. Select a payment channel and click Continue do proceed","Wybrałeś płatność poprzez Dotpay. Wybierz kanał płatności i kliknij Kontynuuj aby przejść dalej."
"Thank you for your order. We are now redirecting you to channel payment.","Dziękujemy za zamówienie. Zostaniesz przekierowany teraz do kanału płatności."
"You chose payment by Dotpay. Click Continue do proceed","Wybrałeś płatność poprzez Dotpay. Kliknij Kontynuuj aby przejść dalej."
"Thank you for your order. We are now redirecting you to Dotpay to make payment.","Dziękujemy za zamówienie. Zostaniesz przekierowany teraz do Dotpay, aby dokonać płatności."
"6 or more characters","Wpisz 6 lub więcej znaków"
"Card title 6 or more characters","Tytuł karty 6 lub więcej znaków"
"Remember your data card (Your card details are safely stored in Dotpay. There will be no need for them to enter the next payment in the store.)","Zapamiętaj dane Twoje karty (Dane Twojej karty zostaną bezpiecznie przechowane w Dotpay. Nie będzie konieczności ich podawania przy kolejnych płatnościach w tym sklepie.)"
"Only 6 digits","Wpisz 6 cyfr"
"Blik code 6 digits","Kod Blik 6 cyfr"
"Transaction Details","Szczegóły Płatności"
"Continue","Kontynuuj"
"My card","Moja karta"
"Credit card payment via Dotpay","Płatność poprzez Dotpay"
"Shop - ","Sklep - "
"Order ID: ","Nr zamówienia: "
"in a shop","w sklepie"
"Checkout with Dotpay","Płać z Dotpay"
"Payment error","Błąd płatności"
"Selected payment channel is unknown.","Wybrany kanał płatności jest nieznany."
"Exceeded expiration date of the generated payment link.","Data ważności linku płatniczego została przekroczona."
"Selected channel payment is desabled.","Wybrany kanał płatności jest zablokowany."
"Account is disabled.","Konto jest zablokowane."
"Seller account is inactive.","Konto sprzedawcy jest niekatywne."
"Amount is too low.","Kwota jest niższa, niż minimalna."
"Amount is too high.","Kwota jest większa, niż maksymalna."
"Data format is bad.","Format przesłanych danych jest błędny."
"Unknown error.","Nieznany błąd."
"Back to shop","Wróć do sklepu"
"Request has been modified during transmission.","Żądanie zostało zmodyfikowane podczas transmisji."
